primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year
simon,1970,"""Bridge Over Troubled Water""","[""simon"",""garfunkel""]",TRUE,2,Columbia,1970-01-26
the carpenters,1970,"""(They Long to Be) Close to You""","""the carpenters""",TRUE,11,A&M,1970
the guess who,1970,"""American Woman""","""the guess who""",TRUE,3,RCA/Legacy,1970-01-01
b.j. thomas,1970,"""Raindrops Keep Fallin' on My Head""","""b.j. thomas""",TRUE,4,Gusto Records,1968
edwin starr,1970,"""War""","""edwin starr""",TRUE,1,UNI/MOTOWN,1970-01-01
diana ross,1970,"""Ain't No Mountain High Enough""","""diana ross""",TRUE,13,UNI/MOTOWN,1967-08-29
the jackson 5,1970,"""I'll Be There""","""the jackson 5""",TRUE,7,UNI/MOTOWN,1970-09-08
rare earth,1970,"""Get Ready""","""rare earth""",TRUE,3,UNI/MOTOWN,1969-09-30
the beatles,1970,"""Let It Be""","""the beatles""",TRUE,3,EMI Catalogue,1967-11-27
freda payne,1970,"""Band of Gold""","""freda payne""",TRUE,2,Edsel,1970
three dog night,1970,"""Mama Told Me (Not to Come)""","""three dog night""",TRUE,7,Geffen,1970-01-01
ray stevens,1970,"""Everything Is Beautiful""","""ray stevens""",TRUE,3,Barnaby Records,1970-01-01
bread,1970,"""Make It with You""","""bread""",TRUE,4,Rhino/Elektra,1970
vanity fare,1970,"""Hitchin' a Ride""","""vanity fare""",TRUE,1,Gulf Coast Records,1969-04-15
the jackson 5,1970,"""ABC""","""the jackson 5""",FALSE,7,Motown,1970-05-08
the jackson 5,1970,"""The Love You Save""","""the jackson 5""",FALSE,7,Motown,1970-05-08
neil diamond,1970,"""Cracklin' Rosie""","""neil diamond""",TRUE,9,Geffen*,1970
dawn,1970,"""Candida""","""dawn""",TRUE,1,BMG Special Products,1970
sly,1970,"""Thank You (Falettinme Be Mice Elf Agin)""","[""sly"",""the family stone""]",TRUE,3,Epic/Legacy,1970-11-21
eric burdon,1970,"""Spill the Wine""","[""eric burdon"",""war""]",TRUE,1,Avenue Records,1970-01-01
five stairsteps,1970,"""O-o-h Child""","""five stairsteps""",TRUE,1,Buddha Records,2001-11-06
norman greenbaum,1970,"""Spirit in the Sky""","""norman greenbaum""",TRUE,1,Craft Recordings,1969-01-01
melanie,1970,"""Lay Down (Candles in the Rain)""","""melanie""",TRUE,2,Buddah/Legacy,1970-05-01
the temptations,1970,"""Ball of Confusion (That's What the World Is Today)""","""the temptations""",TRUE,5,UNI/MOTOWN,2000-01-11
the moments,1970,"""Love on a Two-Way Street""","""the moments""",TRUE,1,CM BLUE NOTE (A92),1971-05-21
the poppy family,1970,"""Which Way You Goin' Billy?""","""the poppy family""",TRUE,1,Geffen,1996-04-23
free,1970,"""All Right Now""","""free""",TRUE,1,UMC (Universal Music Catalogue),1970-06-26
the jackson 5,1970,"""I Want You Back""","""the jackson 5""",FALSE,7,UNI/MOTOWN,1969-12-18
bobby sherman,1970,"""Julie, Do Ya Love Me""","""bobby sherman""",TRUE,2,RKO Music,1970
sugarloaf,1970,"""Green-Eyed Lady""","""sugarloaf""",TRUE,2,Capitol Records,1970
stevie wonder,1970,"""Signed, Sealed, Delivered I'm Yours""","""stevie wonder""",TRUE,18,UNI/MOTOWN,1970-08-07
blues image,1970,"""Ride Captain Ride""","""blues image""",TRUE,1,Rhino/Elektra,1970
shocking blue,1970,"""Venus""","""shocking blue""",TRUE,1,Red Bullet,1969
john lennon,1970,"""Instant Karma!""","""john lennon""",TRUE,5,EMI Catalogue,2010-10-05
clarence carter,1970,"""Patches""","""clarence carter""",TRUE,1,Rhino Atlantic,1968
creedence clearwater revival,1970,"""Lookin' out My Back Door""","""creedence clearwater revival""",TRUE,3,Craft Recordings.,1970-07-24
brook benton,1970,"""Rainy Night in Georgia""","""brook benton""",TRUE,1,Rhino Atlantic,1970
kenny rogers,1970,"""Something's Burning""","[""kenny rogers"",""the first edition""]",TRUE,13,MCA Nashville,1970-01-01
chairmen of the board,1970,"""Give Me Just a Little More Time""","""chairmen of the board""",TRUE,1,Demon,1970-01-01
edison lighthouse,1970,"""Love Grows (Where My Rosemary Goes)""","""edison lighthouse""",TRUE,1,Fuel Records,1960-03-09
the beatles,1970,"""The Long and Winding Road""","""the beatles""",FALSE,3,EMI Catalogue,1970-05-08
anne murray,1970,"""Snowbird""","""anne murray""",TRUE,8,EMI Music Canada,1994-01-01
marmalade,1970,"""Reflections of My Life""","""marmalade""",TRUE,1,Union Square Music,1969-11-14
eddie holman,1970,"""Hey There Lonely Girl""","""eddie holman""",TRUE,1,Geffen,1969-01-01
the jaggerz,1970,"""The Rapper""","""the jaggerz""",TRUE,1,Buddha Records,1970
the hollies,1970,"""He Ain't Heavy, He's My Brother""","""the hollies""",TRUE,3,Epic/Legacy,1967
alive n kickin',1970,"""Tighter, Tighter""","""alive n kickin'""",TRUE,1,Rhino,1970
badfinger,1970,"""Come and Get It""","""badfinger""",TRUE,2,EMI Catalogue,1970-01-09
simon,1970,"""Cecilia""","[""simon"",""garfunkel""]",FALSE,2,Columbia,1970-01-26
charles wright,1970,"""Love Land""","[""charles wright"",""the watts 103rd street rhythm band""]",TRUE,2,Rhino/Warner Records,1970-01-01
tyrone davis,1970,"""Turn Back the Hands of Time""","""tyrone davis""",TRUE,1,Brunswick Records,1970
the kinks,1970,"""Lola""","""the kinks""",TRUE,2,Sanctuary Records,1970-11-27
mungo jerry,1970,"""In the Summertime""","""mungo jerry""",TRUE,1,Sanctuary Records,1970-01-01
r. dean taylor,1970,"""Indiana Wants Me""","""r. dean taylor""",TRUE,1,Motown,1967-01-23
rare earth,1970,"""(I Know) I'm Losing You""","""rare earth""",FALSE,3,UNI/MOTOWN,1970-01-01
bobby sherman,1970,"""Easy Come, Easy Go""","""bobby sherman""",FALSE,2,Metromedia Records,1970-11-09
charles wright,1970,"""Express Yourself""","[""charles wright"",""the watts 103rd street rhythm band""]",FALSE,2,Rhino/Warner Records,1970
the four tops,1970,"""Still Water (Love)""","""the four tops""",TRUE,2,Motown,1970
chicago,1970,"""Make Me Smile""","""chicago""",TRUE,15,Rhino,1970-01-26
frijid pink,1970,"""The House of the Rising Sun""","""frijid pink""",TRUE,1,"ABKCO Music & Records, Inc.",1964-01-01
chicago,1970,"""25 or 6 to 4""","""chicago""",FALSE,15,Rhino,1970-01-26
white plains,1970,"""My Baby Loves Lovin'""","""white plains""",TRUE,1,Fuel Records,1960-03-09
the friends of distinction,1970,"""Love or Let Me Be Lonely""","""the friends of distinction""",TRUE,1,RCA/Legacy,1970-03-01
the brotherhood of man,1970,"""United We Stand""","""the brotherhood of man""",TRUE,1,Universal Digital Enterprises,1968-12-12
the carpenters,1970,"""We've Only Just Begun""","""the carpenters""",FALSE,11,A&M,1970
mark lindsay,1970,"""Arizona""","""mark lindsay""",TRUE,1,Columbia,1969-03-05
james taylor,1970,"""Fire and Rain""","""james taylor""",TRUE,4,Rhino/Warner Records,1970-02-01
gene chandler,1970,"""Groovy Situation""","""gene chandler""",TRUE,1,Legacy Recordings,1990-10
santana,1970,"""Evil Ways""","""santana""",TRUE,9,Columbia/Legacy,1969
the guess who,1970,"""No Time""","""the guess who""",FALSE,3,RCA/Legacy,1970-01-01
the delfonics,1970,"""Didn't I (Blow Your Mind This Time)""","""the delfonics""",TRUE,1,Buddha Records,1968
elvis presley,1970,"""The Wonder of You""","""elvis presley""",TRUE,3,GoldState Music,1985-12-21
creedence clearwater revival,1970,"""Up Around the Bend""","""creedence clearwater revival""",FALSE,3,Craft Recordings.,1970-07-24
ronnie dyson,1970,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""","""ronnie dyson""",TRUE,1,Columbia/Legacy,1970-05-01
b.j. thomas,1970,"""I Just Can't Help Believing""","""b.j. thomas""",FALSE,4,Gusto Records,1968
the spinners,1970,"""It's a Shame""","""the spinners""",TRUE,7,UNI/MOTOWN,1970
bobbi martin,1970,"""For the Love of Him""","""bobbi martin""",TRUE,1,Motown,1994-01-01
mountain,1970,"""Mississippi Queen""","""mountain""",TRUE,1,Columbia/Legacy,1970
ike,1970,"""I Want to Take You Higher""","[""ike"",""tina turner""]",TRUE,2,CAPITOL CATALOG MKT (C92),1970-05-08
joe cocker,1970,"""The Letter""","""joe cocker""",TRUE,3,A&M,1970-08-18
tee-set,1970,"""Ma Belle Amie""","""tee-set""",TRUE,1,Pseudonym / TSR,1970-04-02
the originals,1970,"""The Bells""","""the originals""",TRUE,1,UNI/MOTOWN,1970-06-01
christie,1970,"""Yellow River""","""christie""",TRUE,1,Craft Recordings,1969-08-03
100 proof (aged in soul),1970,"""Somebody's Been Sleeping""","""100 proof (aged in soul)""",TRUE,1,Edsel,1971-01-01
the ides of march,1970,"""Vehicle""","""the ides of march""",TRUE,1,Rhino/Warner Records,1970
the pipkins,1970,"""Gimme Dat Ding""","""the pipkins""",TRUE,1,Chrysalis Copyrights,1970-01-01
robin mcnamara,1970,"""Lay a Little Lovin' on Me""","""robin mcnamara""",TRUE,1,Fuel Records,1960-03-09
the supremes,1970,"""Up the Ladder to the Roof""","""the supremes""",TRUE,1,Motown,1970-04-26
creedence clearwater revival,1970,"""Travelin' Band""","""creedence clearwater revival""",FALSE,3,Craft Recordings.,1970-07-24
the sandpipers,1970,"""Come Saturday Morning""","""the sandpipers""",TRUE,1,A&M,1970-08-31
the temptations,1970,"""Psychedelic Shack""","""the temptations""",FALSE,5,UNI/MOTOWN,1970-01-01
tom jones,1970,"""Without Love (There Is Nothing)""","""tom jones""",TRUE,2,Mercury Records,1994-12-06
pacific gas,1970,"""Are You Ready?""","[""pacific gas"",""electric""]",TRUE,1,Columbia/Legacy,1970
crosby,1970,"""Woodstock""","[""crosby"",""stills"",""nash"",""young""]",TRUE,3,Rhino Atlantic,1969-05-29
dionne warwick,1970,"""I'll Never Fall in Love Again""","""dionne warwick""",TRUE,5,Rhino,1970
the new seekers,1970,"""Look What They've Done to My Song Ma""","""the new seekers""",TRUE,2,Rhino/Elektra,1971
joe south,1970,"""Walk A Mile In My Shoes""","""joe south""",TRUE,1,CAPITOL CATALOG MKT (C92),1968-01-01
b.b. king,1970,"""The Thrill Is Gone""","""b.b. king""",TRUE,1,Geffen,1969-12-05
glen campbell,1970,"""It's Only Make Believe""","""glen campbell""",TRUE,4,Capitol Nashville,1970-01-01
aretha franklin,1970,"""Call Me""","""aretha franklin""",TRUE,9,Rhino Atlantic,1968-06-14
three dog night,1971,"""Joy to the World""","""three dog night""",FALSE,7,Geffen*,1970-01-01
rod stewart,1971,"""Maggie May""/""Reason to Believe""","""rod stewart""",TRUE,14,Mercury Records,1971-05-18
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""","""carole king""",TRUE,2,Ode/Epic/Legacy,1971
the osmonds,1971,"""One Bad Apple""","""the osmonds""",TRUE,3,Universal Records,1970-11-14
bee gees,1971,"""How Can You Mend a Broken Heart""","""bee gees""",TRUE,12,Bee Gees Catalog,1971-09
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","""raiders""",TRUE,1,Columbia/Legacy,1971
donny osmond,1971,"""Go Away Little Girl""","""donny osmond""",TRUE,5,Universal Records,1971-10-11
john denver,1971,"""Take Me Home, Country Roads""","""john denver""",TRUE,6,RCA/Legacy,1971
the temptations,1971,"""Just My Imagination (Running Away with Me)""","""the temptations""",FALSE,5,Motown,1971-01-01
tony orlando,1971,"""Knock Three Times""","[""tony orlando"",""dawn""]",TRUE,4,BMG Special Products,1970
janis joplin,1971,"""Me and Bobby McGee""","""janis joplin""",TRUE,1,Columbia/Legacy,1971-01-11
al green,1971,"""Tired of Being Alone""","""al green""",TRUE,6,Fat Possum,1971-08-14
honey cone,1971,"""Want Ads""","""honey cone""",TRUE,2,Tooth & Nail (TNN),2000-01-01
the undisputed truth,1971,"""Smiling Faces Sometimes""","""the undisputed truth""",TRUE,1,Motown,1971-01-01
cornelius brothers,1971,"""Treat Her Like a Lady""","[""cornelius brothers"",""sister rose""]",TRUE,2,Arista/LaFace Records,1994-04-26
the rolling stones,1971,"""Brown Sugar""","""the rolling stones""",TRUE,6,Polydor Records,1971-04-23
