No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
1,"""Bridge Over Troubled Water""",simon & garfunkel,1970,simon & garfunkel,,simon,garfunkel,2,0
1,"""Joy to the World""",three dog night,1971,three dog night,,three dog night,NA,7,0
1,"""The First Time Ever I Saw Your Face""",roberta flack,1972,roberta flack,,roberta flack,NA,6,0
1,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",tony orlando and dawn,1973,tony orlando and dawn,,tony orl,"o, dawn",4,0
1,"""The Way We Were""",barbra streisand,1974,barbra streisand,,barbra streis,NA,10,0
1,"""Love Will Keep Us Together""",captain & tennille,1975,captain & tennille,,captain,tennille,5,0
1,"""Silly Love Songs""",wings,1976,wings,,wings,NA,5,0
1,"""Tonight's the Night (Gonna Be Alright)""",rod stewart,1977,rod stewart,,rod stewart,NA,14,0
1,"""Shadow Dancing""",andy gibb,1978,andy gibb,,,y gibb,12,0
1,"""My Sharona""",the knack,1979,the knack,,the knack,NA,1,1
1,"""Call Me""",blondie,1980,blondie,,blondie,NA,4,0
1,"""Bette Davis Eyes""",kim carnes,1981,kim carnes,,kim carnes,NA,2,0
1,"""Physical""",olivia newton-john,1982,olivia newton-john,,olivia newton-john,NA,13,0
1,"""Every Breath You Take""",the police,1983,the police,,the police,NA,5,0
1,"""When Doves Cry""",prince,1984,prince,,prince,NA,15,0
1,"""Careless Whisper""",wham!,1985,wham!,,wham!,NA,7,0
1,"""That's What Friends Are For""","dionne and friends (dionne warwick, gladys knight, elton john and stevie wonder)",1986,"dionne and friends (dionne warwick, gladys knight, elton john and stevie wonder)",,dionne,"friends (dionne warwick, gladys knight, elton john, stevie wonder)",1,1
1,"""Walk Like An Egyptian""",the bangles,1987,the bangles,,the bangles,NA,5,0
1,"""Faith""",george michael,1988,george michael,,george michael,NA,12,0
1,"""Look Away""",chicago,1989,chicago,,chicago,NA,15,0
1,"""Hold On""",wilson phillips,1990,wilson phillips,,wilson phillips,NA,4,0
1,"""(Everything I Do) I Do It for You""",bryan adams,1991,bryan adams,,bryan adams,NA,12,0
1,"""End of the Road""",boyz ii men,1992,boyz ii men,,boyz ii men,NA,13,0
1,"""I Will Always Love You""",whitney houston,1993,whitney houston,,whitney houston,NA,22,0
1,"""The Sign""",ace of base,1994,ace of base,,ace of base,NA,6,0
1,"""Gangsta's Paradise""",coolio featuring l.v.,1995,coolio featuring l.v.,,coolio,l.v.,5,0
1,"""Macarena (Bayside Boys Mix)""",los del río,1996,los del río,,los del río,NA,3,0
1,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",elton john,1997,elton john,,elton john,NA,28,0
1,"""Too Close""",next,1998,next,,next,NA,5,0
1,"""Believe""",cher,1999,cher,,cher,NA,10,0
1,"""Breathe""",faith hill,2000,faith hill,,faith hill,NA,6,0
