Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1970,1,simon,"""Bridge Over Troubled Water""",TRUE,1970,1,293.12,Folk,Folk,Folk
1970,2,the carpenters,"""(They Long to Be) Close to You""",FALSE,1970,3.1622776601683795,276,Pop,70s,Pop
1970,3,the guess who,"""American Woman""",TRUE,1970,1.4142135623730951,307.96,Rock,Classic Rock,Rock
1970,4,b.j. thomas,"""Raindrops Keep Fallin' on My Head""",FALSE,1970,1.7320508075688772,180.52,Pop,Oldies,Pop
1970,5,edwin starr,"""War""",TRUE,1970,0,200.266,Rock,Soul,Rock
1970,6,diana ross,"""Ain't No Mountain High Enough""",TRUE,1970,3.4641016151377544,215.2,Pop,Soul,NA
1970,7,the jackson 5,"""I'll Be There""",TRUE,1970,2.449489742783178,237.76,Pop,Motown,Pop
1970,8,rare earth,"""Get Ready""",TRUE,1970,1.4142135623730951,166.706,Rock,Classic Rock,Rock
1970,9,the beatles,"""Let It Be""",FALSE,1970,1.4142135623730951,243.026,Rock,Classic Rock,Rock
1970,10,freda payne,"""Band of Gold""",FALSE,1970,1,178.093,Pop,Soul,NA
1970,11,three dog night,"""Mama Told Me (Not to Come)""",FALSE,1970,2.449489742783178,198.933,Rock,Classic Rock,Rock
1970,12,ray stevens,"""Everything Is Beautiful""",FALSE,1970,1.4142135623730951,212.773,Pop,70s,Pop
1970,13,bread,"""Make It with You""",TRUE,1970,1.7320508075688772,192.2,Pop,Soft Rock,NA
1970,14,vanity fare,"""Hitchin' a Ride""",FALSE,1970,0,175.095,Rock,Oldies,Rock
1970,17,neil diamond,"""Cracklin' Rosie""",FALSE,1970,2.8284271247461903,179.933,Pop,70s,Pop
1970,18,dawn,"""Candida""",FALSE,1970,0,182.973,Pop,70s,Pop
1970,19,sly,"""Thank You (Falettinme Be Mice Elf Agin)""",TRUE,1970,1.4142135623730951,291.32,Rnb,Funk,NA
1970,20,eric burdon,"""Spill the Wine""",FALSE,1970,0,294.8,Rock,70s,NA
1970,21,five stairsteps,"""O-o-h Child""",FALSE,1970,0,197.16,Pop,Soul,Pop
1970,22,norman greenbaum,"""Spirit in the Sky""",FALSE,1970,0,242.893,Rock,Classic Rock,Rock
1970,23,melanie,"""Lay Down (Candles in the Rain)""",TRUE,1970,1,459.96,Folk,Female Vocalists,Folk
1970,24,the temptations,"""Ball of Confusion (That's What the World Is Today)""",TRUE,1970,2,246.2,Rnb,Soul,NA
1970,25,the moments,"""Love on a Two-Way Street""",FALSE,1970,0,217.066,Pop,Soul,Pop
1970,26,the poppy family,"""Which Way You Goin' Billy?""",FALSE,1970,0,203.426,Unknown,70s,NA
1970,27,free,"""All Right Now""",FALSE,1970,0,330.643,Rock,Classic Rock,Rock
1970,29,bobby sherman,"""Julie, Do Ya Love Me""",FALSE,1970,1,172.837,Pop,Pop,Pop
1970,30,sugarloaf,"""Green-Eyed Lady""",TRUE,1970,1,219.76,Rock,Classic Rock,Rock
1970,31,stevie wonder,"""Signed, Sealed, Delivered I'm Yours""",TRUE,1970,4.123105625617661,161,Pop,Soul,Pop
1970,32,blues image,"""Ride Captain Ride""",TRUE,1970,0,225.56,Rock,Classic Rock,Rock
1970,33,shocking blue,"""Venus""",FALSE,1970,0,187.533,Rock,Classic Rock,Rock
1970,34,john lennon,"""Instant Karma!""",FALSE,1970,2,200.653,Rock,Classic Rock,Rock
1970,35,clarence carter,"""Patches""",TRUE,1970,0,193.826,Blues,Soul,Blues
1970,36,creedence clearwater revival,"""Lookin' out My Back Door""",FALSE,1970,1.4142135623730951,152.466,Rock,Classic Rock,Rock
1970,37,brook benton,"""Rainy Night in Georgia""",TRUE,1970,0,233.573,Blues,Soul,NA
1970,38,kenny rogers,"""Something's Burning""",FALSE,1970,3.4641016151377544,242.093,Rock,Country Rock,Rock
