primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first,clean_title,lastfm_genre,lastfm_top_tag,duration_sec,search_artist,new_lastfm_genre
simon,1970,"""Bridge Over Troubled Water""","[""simon"",""garfunkel""]",TRUE,2,Columbia,1970-01-26,Columbia,1970,TRUE,1,1,1,TRUE,Bridge Over Troubled Water,Folk,Folk,293.12,simon & garfunkel,Folk
the carpenters,1970,"""(They Long to Be) Close to You""","""the carpenters""",TRUE,11,A&M,1970,A&M,1970,FALSE,2,10,3.1622776601683795,TRUE,(They Long to Be) Close to You,Pop,70s,276,the carpenters,Pop
the guess who,1970,"""American Woman""","""the guess who""",TRUE,3,RCA/Legacy,1970-01-01,RCA; Legacy,1970,TRUE,3,2,1.4142135623730951,TRUE,American Woman,Rock,Classic Rock,307.96,the guess who,Rock
b.j. thomas,1970,"""Raindrops Keep Fallin' on My Head""","""b.j. thomas""",TRUE,4,Gusto Records,1968,Gusto Records,1970,FALSE,4,3,1.7320508075688772,TRUE,Raindrops Keep Fallin' on My Head,Pop,Oldies,180.52,b.j. thomas,Pop
edwin starr,1970,"""War""","""edwin starr""",TRUE,1,UNI/MOTOWN,1970-01-01,UNI; MOTOWN,1970,TRUE,5,0,0,FALSE,War,Rock,Soul,200.266,edwin starr,Rock
diana ross,1970,"""Ain't No Mountain High Enough""","""diana ross""",TRUE,13,UNI/MOTOWN,1967-08-29,UNI; MOTOWN,1970,TRUE,6,12,3.4641016151377544,TRUE,Ain't No Mountain High Enough,Pop,Soul,215.2,diana ross,NA
the jackson 5,1970,"""I'll Be There""","""the jackson 5""",TRUE,7,UNI/MOTOWN,1970-09-08,UNI; MOTOWN,1970,TRUE,7,6,2.449489742783178,TRUE,I'll Be There,Pop,Motown,237.76,the jackson 5,Pop
rare earth,1970,"""Get Ready""","""rare earth""",TRUE,3,UNI/MOTOWN,1969-09-30,UNI; MOTOWN,1970,TRUE,8,2,1.4142135623730951,TRUE,Get Ready,Rock,Classic Rock,166.706,rare earth,Rock
the beatles,1970,"""Let It Be""","""the beatles""",TRUE,3,EMI Catalogue,1967-11-27,EMI Catalogue,1970,FALSE,9,2,1.4142135623730951,TRUE,Let It Be,Rock,Classic Rock,243.026,the beatles,Rock
freda payne,1970,"""Band of Gold""","""freda payne""",TRUE,2,Edsel,1970,Edsel,1970,FALSE,10,1,1,TRUE,Band of Gold,Pop,Soul,178.093,freda payne,NA
three dog night,1970,"""Mama Told Me (Not to Come)""","""three dog night""",TRUE,7,Geffen,1970-01-01,Geffen,1970,FALSE,11,6,2.449489742783178,TRUE,Mama Told Me (Not to Come),Rock,Classic Rock,198.933,three dog night,Rock
ray stevens,1970,"""Everything Is Beautiful""","""ray stevens""",TRUE,3,Barnaby Records,1970-01-01,Barnaby Records,1970,FALSE,12,2,1.4142135623730951,TRUE,Everything Is Beautiful,Pop,70s,212.773,ray stevens,Pop
bread,1970,"""Make It with You""","""bread""",TRUE,4,Rhino/Elektra,1970,Rhino; Elektra,1970,TRUE,13,3,1.7320508075688772,TRUE,Make It with You,Pop,Soft Rock,192.2,bread,NA
vanity fare,1970,"""Hitchin' a Ride""","""vanity fare""",TRUE,1,Gulf Coast Records,1969-04-15,Gulf Coast Records,1970,FALSE,14,0,0,FALSE,Hitchin' a Ride,Rock,Oldies,175.095,vanity fare,Rock
neil diamond,1970,"""Cracklin' Rosie""","""neil diamond""",TRUE,9,Geffen*,1970,Geffen*,1970,FALSE,17,8,2.8284271247461903,TRUE,Cracklin' Rosie,Pop,70s,179.933,neil diamond,Pop
dawn,1970,"""Candida""","""dawn""",TRUE,1,BMG Special Products,1970,BMG Special Products,1970,FALSE,18,0,0,FALSE,Candida,Pop,70s,182.973,dawn,Pop
sly,1970,"""Thank You (Falettinme Be Mice Elf Agin)""","[""sly"",""the family stone""]",TRUE,3,Epic/Legacy,1970-11-21,Epic; Legacy,1970,TRUE,19,2,1.4142135623730951,TRUE,Thank You (Falettinme Be Mice Elf Agin),Rnb,Funk,291.32,sly & the family stone,NA
eric burdon,1970,"""Spill the Wine""","[""eric burdon"",""war""]",TRUE,1,Avenue Records,1970-01-01,Avenue Records,1970,FALSE,20,0,0,FALSE,Spill the Wine,Rock,70s,294.8,eric burdon & war,NA
five stairsteps,1970,"""O-o-h Child""","""five stairsteps""",TRUE,1,Buddha Records,2001-11-06,Buddha Records,1970,FALSE,21,0,0,FALSE,O-o-h Child,Pop,Soul,197.16,five stairsteps,Pop
norman greenbaum,1970,"""Spirit in the Sky""","""norman greenbaum""",TRUE,1,Craft Recordings,1969-01-01,Craft Recordings,1970,FALSE,22,0,0,FALSE,Spirit in the Sky,Rock,Classic Rock,242.893,norman greenbaum,Rock
melanie,1970,"""Lay Down (Candles in the Rain)""","""melanie""",TRUE,2,Buddah/Legacy,1970-05-01,Buddah; Legacy,1970,TRUE,23,1,1,TRUE,Lay Down (Candles in the Rain),Folk,Female Vocalists,459.96,melanie,Folk
