primary_artist,Year,No.,Title,genre,duration_sec,is_major_label,decade,sqrt_reappearance
simon,1970,1,"""Bridge Over Troubled Water""",Folk,293.12,TRUE,1970,1
the carpenters,1970,2,"""(They Long to Be) Close to You""",Vocal,276,FALSE,1970,3.16227766016838
the guess who,1970,3,"""American Woman""",Blues,307.96,TRUE,1970,1.4142135623731
b.j. thomas,1970,4,"""Raindrops Keep Fallin' on My Head""",Pop,180.52,FALSE,1970,1.73205080756888
edwin starr,1970,5,"""War""",Jazz,200.266,TRUE,1970,0
diana ross,1970,6,"""Ain't No Mountain High Enough""",Rnb,215.2,TRUE,1970,3.46410161513775
the jackson 5,1970,7,"""I'll Be There""",Blues,237.76,TRUE,1970,2.44948974278318
rare earth,1970,8,"""Get Ready""",Electronic,166.706,TRUE,1970,1.4142135623731
the beatles,1970,9,"""Let It Be""",Pop Rock,243.026,FALSE,1970,1.4142135623731
freda payne,1970,10,"""Band of Gold""",Vocal,178.093,FALSE,1970,1
three dog night,1970,11,"""Mama Told Me (Not to Come)""",Pop Rock,198.933,FALSE,1970,2.44948974278318
ray stevens,1970,12,"""Everything Is Beautiful""",Country,212.773,FALSE,1970,1.4142135623731
bread,1970,13,"""Make It with You""",Rock,192.2,TRUE,1970,1.73205080756888
vanity fare,1970,14,"""Hitchin' a Ride""",Pop Rock,175.095,FALSE,1970,0
neil diamond,1970,17,"""Cracklin' Rosie""",Vocal,179.933,FALSE,1970,2.82842712474619
dawn,1970,18,"""Candida""",Pop	Rock,182.973,FALSE,1970,0
sly,1970,19,"""Thank You (Falettinme Be Mice Elf Agin)""",R&B,291.32,TRUE,1970,1.4142135623731
eric burdon,1970,20,"""Spill the Wine""",Rock,294.8,FALSE,1970,0
five stairsteps,1970,21,"""O-o-h Child""",R&B,197.16,FALSE,1970,0
norman greenbaum,1970,22,"""Spirit in the Sky""",Folk,242.893,FALSE,1970,0
melanie,1970,23,"""Lay Down (Candles in the Rain)""",Folk,459.96,TRUE,1970,1
the temptations,1970,24,"""Ball of Confusion (That's What the World Is Today)""",Rock	Rnb,246.2,TRUE,1970,2
the moments,1970,25,"""Love on a Two-Way Street""",Blues,217.066,FALSE,1970,0
the poppy family,1970,26,"""Which Way You Goin' Billy?""",Folk,203.426,FALSE,1970,0
free,1970,27,"""All Right Now""",Blues,330.643,FALSE,1970,0
bobby sherman,1970,29,"""Julie, Do Ya Love Me""",Pop,172.837,FALSE,1970,1
sugarloaf,1970,30,"""Green-Eyed Lady""",Rock,219.76,TRUE,1970,1
stevie wonder,1970,31,"""Signed, Sealed, Delivered I'm Yours""",R&B,161,TRUE,1970,4.12310562561766
blues image,1970,32,"""Ride Captain Ride""",Rock,225.56,TRUE,1970,0
shocking blue,1970,33,"""Venus""",Pop Rock,187.533,FALSE,1970,0
john lennon,1970,34,"""Instant Karma!""",Folk,200.653,FALSE,1970,2
clarence carter,1970,35,"""Patches""",Blues,193.826,TRUE,1970,0
creedence clearwater revival,1970,36,"""Lookin' out My Back Door""",Country,152.466,FALSE,1970,1.4142135623731
brook benton,1970,37,"""Rainy Night in Georgia""",Blues,233.573,TRUE,1970,0
kenny rogers,1970,38,"""Something's Burning""",Folk,242.093,FALSE,1970,3.46410161513775
chairmen of the board,1970,39,"""Give Me Just a Little More Time""",Rnb,162.826,FALSE,1970,0
edison lighthouse,1970,40,"""Love Grows (Where My Rosemary Goes)""",Pop Rock,174.76,FALSE,1970,0
rod stewart,1971,2,"""Maggie May""/""Reason to Believe""",Pop Rock,350.146,FALSE,1970,3.60555127546399
carole king,1971,3,"""It's Too Late""/""I Feel the Earth Move""",Folk,258.16,TRUE,1970,1
the osmonds,1971,4,"""One Bad Apple""",NA,164.973,FALSE,1970,1.4142135623731
bee gees,1971,5,"""How Can You Mend a Broken Heart""",Pop	Rock,285.373,FALSE,1970,3.3166247903554
raiders,1971,6,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",NA,171.933,TRUE,1970,0
donny osmond,1971,7,"""Go Away Little Girl""",Vocal,150.6,FALSE,1970,2
john denver,1971,8,"""Take Me Home, Country Roads""",Country,190.16,TRUE,1970,2.23606797749979
tony orlando,1971,10,"""Knock Three Times""",Electronic,177.173,FALSE,1970,1.73205080756888
janis joplin,1971,11,"""Me and Bobby McGee""",Blues,271.333,TRUE,1970,0
al green,1971,12,"""Tired of Being Alone""",Rnb,172.32,FALSE,1970,2.23606797749979
honey cone,1971,13,"""Want Ads""",R&B,168.28,FALSE,1970,1
the undisputed truth,1971,14,"""Smiling Faces Sometimes""",R&B,198.546,TRUE,1970,0
cornelius brothers,1971,15,"""Treat Her Like a Lady""",R&B,160.36,FALSE,1970,1
the rolling stones,1971,16,"""Brown Sugar""",Rock,228.666,FALSE,1970,2.23606797749979
jean knight,1971,18,"""Mr. Big Stuff""",R&B,164.56,FALSE,1970,0
lee michaels,1971,19,"""Do You Know What I Mean""",Rock,193.8,FALSE,1970,0
joan baez,1971,20,"""The Night They Drove Old Dixie Down""",Folk,206.066,FALSE,1970,0
marvin gaye,1971,21,"""What's Going On""",Jazz,233,TRUE,1970,2
paul,1971,22,"""Uncle Albert/Admiral Halsey""",Pop Rock,295.146,FALSE,1970,0
bill withers,1971,23,"""Ain't No Sunshine""",Jazz	Rnb,125.093,TRUE,1970,1.4142135623731
five man electrical band,1971,24,"""Signs""",Pop Rock,241.693,FALSE,1970,0
the free movement,1971,26,"""I've Found Someone of My Own""",NA,226.514,TRUE,1970,0
murray head,1971,27,"""Superstar""",NA,255.831,FALSE,1970,1
jerry reed,1971,28,"""Amos Moses""",Country,139.226,FALSE,1970,1
the grass roots,1971,29,"""Temptation Eyes""",Rock,159.173,FALSE,1970,0
george harrison,1971,31,"""My Sweet Lord""/""Isn't It A Pity""",Folk,244.517,FALSE,1970,1.73205080756888
ocean,1971,33,"""Put Your Hand in the Hand""",Folk,176.706,FALSE,1970,0
daddy dewdrop,1971,34,"""Chick-A-Boom (Don't Ya Jes' Love It)""",Pop	Rock,171.533,FALSE,1970,0
gordon lightfoot,1971,36,"""If You Could Read My Mind""",Folk,228.84,TRUE,1970,1
sammi smith,1971,37,"""Help Me Make It Through the Night""",Country,155.533,FALSE,1970,0
cher,1971,39,"""Gypsys, Tramps & Thieves""",Pop,158,FALSE,1970,3
roberta flack,1972,1,"""The First Time Ever I Saw Your Face""",Jazz,260.666,TRUE,1970,2.23606797749979
gilbert o'sullivan,1972,2,"""Alone Again (Naturally)""",Pop	Rock,221.373,FALSE,1970,1.4142135623731
don mclean,1972,3,"""American Pie""",Folk,516.893,TRUE,1970,1.4142135623731
harry nilsson,1972,4,"""Without You""",Folk,201,FALSE,1970,1
sammy davis jr.,1972,5,"""The Candy Man""",Jazz,188.226,FALSE,1970,0
joe tex,1972,6,"""I Gotcha""",Blues,148.813,FALSE,1970,1
mac davis,1972,8,"""Baby, Don't Get Hooked on Me""",Country,183.933,TRUE,1970,1
wayne newton,1972,10,"""Daddy Don't You Walk So Fast""",Pop	Rock,206.333,FALSE,1970,0
looking glass,1972,12,"""Brandy (You're a Fine Girl)""",Pop Rock,186.826,TRUE,1970,0
the chi-lites,1972,13,"""Oh Girl""",Electronic,216.28,FALSE,1970,0
gallery,1972,14,"""Nice to Be with You""",Jazz,157.162,FALSE,1970,0
chuck berry,1972,15,"""My Ding-a-Ling""",Rock,223.573,FALSE,1970,0
luther ingram,1972,16,"""(If Loving You Is Wrong) I Don't Want to Be Right""",Rnb,216.8,FALSE,1970,0
neil young,1972,17,"""Heart of Gold""",Folk,187.11,FALSE,1970,0
the stylistics,1972,18,"""Betcha by Golly, Wow""",Rnb,253.004,FALSE,1970,1.73205080756888
the staple singers,1972,19,"""I'll Take You There""",R&B,196.826,FALSE,1970,1
michael jackson,1972,20,"""Ben""",Vocal,167.386,TRUE,1970,5
robert john,1972,21,"""The Lion Sleeps Tonight""",R&B,153.706,TRUE,1970,1
billy preston,1972,22,"""Outa-Space""",Rnb,250.866,FALSE,1970,1.73205080756888
war,1972,23,"""Slippin' into Darkness""",Blues,227.373,FALSE,1970,2.44948974278318
mouth,1972,25,"""How Do You Do""",NA,244.133,FALSE,1970,0
america,1972,27,"""A Horse with No Name""",Rock,252.239,TRUE,1970,1.73205080756888
