primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappears_after_first,reappearance_count,sqrt_reappearance,row_id,title_clean,artist_clean,track_id,genre,duration_ms,duration_sec,clean_title,search_artist,genre_final,lastfm_genre
simon,1970,"""Bridge Over Troubled Water""","[""simon"",""garfunkel""]",TRUE,2,Columbia,1970-01-26,Columbia,1970,TRUE,1,FALSE,1,1,1,bridge over troubled water,simon,NA,NA,293120,293.12,Bridge Over Troubled Water,simon & garfunkel,folk,folk
the carpenters,1970,"""(They Long to Be) Close to You""","""the carpenters""",TRUE,11,A&M,1970,A&M,1970,FALSE,2,TRUE,10,3.16227766016838,2,they long to be close to you,the carpenters,NA,NA,276000,276,(They Long to Be) Close to You,the carpenters,vocal,pop
the guess who,1970,"""American Woman""","""the guess who""",TRUE,3,RCA/Legacy,1970-01-01,RCA; Legacy,1970,TRUE,3,TRUE,2,1.4142135623731,3,american woman,the guess who,TRPDWKS128F428A204,NA,307960,307.96,American Woman,the guess who,blues,rock
b.j. thomas,1970,"""Raindrops Keep Fallin' on My Head""","""b.j. thomas""",TRUE,4,Gusto Records,1968,Gusto Records,1970,FALSE,4,TRUE,3,1.73205080756888,4,raindrops keep fallin on my head,bj thomas,TRCFHUM128F42591BE,Pop,180520,180.52,Raindrops Keep Fallin' on My Head,b.j. thomas,Pop,pop
edwin starr,1970,"""War""","""edwin starr""",TRUE,1,UNI/MOTOWN,1970-01-01,UNI; MOTOWN,1970,TRUE,5,FALSE,0,0,5,war,edwin starr,TRWMKEL128F92F142B,NA,200266,200.266,War,edwin starr,NA,rock
diana ross,1970,"""Ain't No Mountain High Enough""","""diana ross""",TRUE,13,UNI/MOTOWN,1967-08-29,UNI; MOTOWN,1970,TRUE,6,TRUE,12,3.46410161513775,6,aint no mountain high enough,diana ross,TRCHHIC128F422B9CC,RnB,215200,215.2,Ain't No Mountain High Enough,diana ross,RnB,pop
the jackson 5,1970,"""I'll Be There""","""the jackson 5""",TRUE,7,UNI/MOTOWN,1970-09-08,UNI; MOTOWN,1970,TRUE,7,TRUE,6,2.44948974278318,7,ill be there,the jackson 5,TRBLXXH128F42620B1,NA,237760,237.76,I'll Be There,the jackson 5,blues,pop
rare earth,1970,"""Get Ready""","""rare earth""",TRUE,3,UNI/MOTOWN,1969-09-30,UNI; MOTOWN,1970,TRUE,8,TRUE,2,1.4142135623731,8,get ready,rare earth,TRZJILF128F42A7F6B,NA,166706,166.706,Get Ready,rare earth,electronic,rock
the beatles,1970,"""Let It Be""","""the beatles""",TRUE,3,EMI Catalogue,1967-11-27,EMI Catalogue,1970,FALSE,9,TRUE,2,1.4142135623731,9,let it be,the beatles,NA,NA,243026,243.026,Let It Be,the beatles,pop rock,rock
freda payne,1970,"""Band of Gold""","""freda payne""",TRUE,2,Edsel,1970,Edsel,1970,FALSE,10,TRUE,1,1,10,band of gold,freda payne,TRFEQLZ128F930D28C,NA,178093,178.093,Band of Gold,freda payne,vocal,pop
three dog night,1970,"""Mama Told Me (Not to Come)""","""three dog night""",TRUE,7,Geffen,1970-01-01,Geffen,1970,FALSE,11,TRUE,6,2.44948974278318,11,mama told me not to come,three dog night,NA,NA,198933,198.933,Mama Told Me (Not to Come),three dog night,pop rock,rock
ray stevens,1970,"""Everything Is Beautiful""","""ray stevens""",TRUE,3,Barnaby Records,1970-01-01,Barnaby Records,1970,FALSE,12,TRUE,2,1.4142135623731,12,everything is beautiful,ray stevens,NA,NA,212773,212.773,Everything Is Beautiful,ray stevens,country,pop
bread,1970,"""Make It with You""","""bread""",TRUE,4,Rhino/Elektra,1970,Rhino; Elektra,1970,TRUE,13,TRUE,3,1.73205080756888,13,make it with you,bread,TRADTKC12903D0BB81,Rock,192200,192.2,Make It with You,bread,Rock,pop
vanity fare,1970,"""Hitchin' a Ride""","""vanity fare""",TRUE,1,Gulf Coast Records,1969-04-15,Gulf Coast Records,1970,FALSE,14,FALSE,0,0,14,hitchin a ride,vanity fare,TRRJMEC128EF3563A1,NA,175095,175.095,Hitchin' a Ride,vanity fare,pop rock,rock
neil diamond,1970,"""Cracklin' Rosie""","""neil diamond""",TRUE,9,Geffen*,1970,Geffen*,1970,FALSE,17,TRUE,8,2.82842712474619,15,cracklin rosie,neil diamond,TRLLRHS128E079431A,NA,179933,179.933,Cracklin' Rosie,neil diamond,vocal,pop
dawn,1970,"""Candida""","""dawn""",TRUE,1,BMG Special Products,1970,BMG Special Products,1970,FALSE,18,FALSE,0,0,16,candida,dawn,TRWFLBE128F428473E,Pop	Rock,182973,182.973,Candida,dawn,Pop	Rock,pop
sly,1970,"""Thank You (Falettinme Be Mice Elf Agin)""","[""sly"",""the family stone""]",TRUE,3,Epic/Legacy,1970-11-21,Epic; Legacy,1970,TRUE,19,TRUE,2,1.4142135623731,17,thank you falettinme be mice elf agin,sly,NA,NA,291320,291.32,Thank You (Falettinme Be Mice Elf Agin),sly & the family stone,r&b,rock
eric burdon,1970,"""Spill the Wine""","[""eric burdon"",""war""]",TRUE,1,Avenue Records,1970-01-01,Avenue Records,1970,FALSE,20,FALSE,0,0,18,spill the wine,eric burdon,TRYJXEI12903CB7631,Rock,294800,294.8,Spill the Wine,eric burdon & war,Rock,rock
five stairsteps,1970,"""O-o-h Child""","""five stairsteps""",TRUE,1,Buddha Records,2001-11-06,Buddha Records,1970,FALSE,21,FALSE,0,0,19,ooh child,five stairsteps,NA,NA,197160,197.16,O-o-h Child,five stairsteps,r&b,pop
norman greenbaum,1970,"""Spirit in the Sky""","""norman greenbaum""",TRUE,1,Craft Recordings,1969-01-01,Craft Recordings,1970,FALSE,22,FALSE,0,0,20,spirit in the sky,norman greenbaum,TRMSHWV128F92D2D67,NA,242893,242.893,Spirit in the Sky,norman greenbaum,folk,rock
melanie,1970,"""Lay Down (Candles in the Rain)""","""melanie""",TRUE,2,Buddah/Legacy,1970-05-01,Buddah; Legacy,1970,TRUE,23,TRUE,1,1,21,lay down candles in the rain,melanie,TRGJYBX128F92D96FA,NA,459960,459.96,Lay Down (Candles in the Rain),melanie,folk,folk
the temptations,1970,"""Ball of Confusion (That's What the World Is Today)""","""the temptations""",TRUE,5,UNI/MOTOWN,2000-01-11,UNI; MOTOWN,1970,TRUE,24,TRUE,4,2,22,ball of confusion thats what the world is today,the temptations,TRJOHGG128F92F12B9,Rock	RnB,246200,246.2,Ball of Confusion (That's What the World Is Today),the temptations,Rock	RnB,r&b
the moments,1970,"""Love on a Two-Way Street""","""the moments""",TRUE,1,CM BLUE NOTE (A92),1971-05-21,CM BLUE NOTE (A92),1970,FALSE,25,FALSE,0,0,23,love on a twoway street,the moments,NA,NA,217066,217.066,Love on a Two-Way Street,the moments,blues,pop
the poppy family,1970,"""Which Way You Goin' Billy?""","""the poppy family""",TRUE,1,Geffen,1996-04-23,Geffen,1970,FALSE,26,FALSE,0,0,24,which way you goin billy,the poppy family,NA,NA,203426,203.426,Which Way You Goin' Billy?,the poppy family,NA,NA
free,1970,"""All Right Now""","""free""",TRUE,1,UMC (Universal Music Catalogue),1970-06-26,UMC (Universal Music Catalogue),1970,FALSE,27,FALSE,0,0,25,all right now,free,TRGZAGI128F427EFD3,NA,330643,330.643,All Right Now,free,blues,rock
bobby sherman,1970,"""Julie, Do Ya Love Me""","""bobby sherman""",TRUE,2,RKO Music,1970,RKO Music,1970,FALSE,29,FALSE,1,1,26,julie do ya love me,bobby sherman,TRZMPNR12903C9F33C,Pop,172837,172.837,"Julie, Do Ya Love Me",bobby sherman,Pop,pop
sugarloaf,1970,"""Green-Eyed Lady""","""sugarloaf""",TRUE,2,Capitol Records,1970,Capitol Records,1970,TRUE,30,TRUE,1,1,27,greeneyed lady,sugarloaf,TRUCNIR128F9311DA3,Rock,219760,219.76,Green-Eyed Lady,sugarloaf,Rock,rock
stevie wonder,1970,"""Signed, Sealed, Delivered I'm Yours""","""stevie wonder""",TRUE,18,UNI/MOTOWN,1970-08-07,UNI; MOTOWN,1970,TRUE,31,TRUE,17,4.12310562561766,28,signed sealed delivered im yours,stevie wonder,NA,NA,161000,161,"Signed, Sealed, Delivered I'm Yours",stevie wonder,r&b,pop
blues image,1970,"""Ride Captain Ride""","""blues image""",TRUE,1,Rhino/Elektra,1970,Rhino; Elektra,1970,TRUE,32,FALSE,0,0,29,ride captain ride,blues image,TRNIWNC128F932531D,Rock,225560,225.56,Ride Captain Ride,blues image,Rock,rock
shocking blue,1970,"""Venus""","""shocking blue""",TRUE,1,Red Bullet,1969,Red Bullet,1970,FALSE,33,FALSE,0,0,30,venus,shocking blue,NA,NA,187533,187.533,Venus,shocking blue,pop rock,rock
john lennon,1970,"""Instant Karma!""","""john lennon""",TRUE,5,EMI Catalogue,2010-10-05,EMI Catalogue,1970,FALSE,34,TRUE,4,2,31,instant karma,john lennon,NA,NA,200653,200.653,Instant Karma!,john lennon,NA,rock
clarence carter,1970,"""Patches""","""clarence carter""",TRUE,1,Rhino Atlantic,1968,Rhino Atlantic,1970,TRUE,35,FALSE,0,0,32,patches,clarence carter,TRIJMDT128F931BD07,NA,193826,193.826,Patches,clarence carter,blues,blues
creedence clearwater revival,1970,"""Lookin' out My Back Door""","""creedence clearwater revival""",TRUE,3,Craft Recordings.,1970-07-24,Craft Recordings.,1970,FALSE,36,FALSE,2,1.4142135623731,33,lookin out my back door,creedence clearwater revival,TRFRCUR12903CE7C0A,NA,152466,152.466,Lookin' out My Back Door,creedence clearwater revival,country,rock
brook benton,1970,"""Rainy Night in Georgia""","""brook benton""",TRUE,1,Rhino Atlantic,1970,Rhino Atlantic,1970,TRUE,37,FALSE,0,0,34,rainy night in georgia,brook benton,NA,NA,233573,233.573,Rainy Night in Georgia,brook benton,blues,blues
kenny rogers,1970,"""Something's Burning""","[""kenny rogers"",""the first edition""]",TRUE,13,MCA Nashville,1970-01-01,MCA Nashville,1970,FALSE,38,TRUE,12,3.46410161513775,35,somethings burning,kenny rogers,TRWMFNW128F42B1896,NA,242093,242.093,Something's Burning,kenny rogers & the first edition,folk,rock
chairmen of the board,1970,"""Give Me Just a Little More Time""","""chairmen of the board""",TRUE,1,Demon,1970-01-01,Demon,1970,FALSE,39,FALSE,0,0,36,give me just a little more time,chairmen of the board,TRBCUHZ128F931C08B,RnB,162826,162.826,Give Me Just a Little More Time,chairmen of the board,RnB,pop
edison lighthouse,1970,"""Love Grows (Where My Rosemary Goes)""","""edison lighthouse""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,40,FALSE,0,0,37,love grows where my rosemary goes,edison lighthouse,TRWNEEO12903CB5E01,NA,174760,174.76,Love Grows (Where My Rosemary Goes),edison lighthouse,pop rock,pop
rod stewart,1971,"""Maggie May""/""Reason to Believe""","""rod stewart""",TRUE,14,Mercury Records,1971-05-18,Mercury Records,1970,FALSE,2,TRUE,13,3.60555127546399,38,maggie mayreason to believe,rod stewart,NA,NA,350146,350.146,Maggie May/Reason to Believe,rod stewart,NA,NA
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""","""carole king""",TRUE,2,Ode/Epic/Legacy,1971,Ode; Epic; Legacy,1970,TRUE,3,TRUE,1,1,39,its too latei feel the earth move,carole king,NA,NA,258160,258.16,It's Too Late/I Feel the Earth Move,carole king,NA,NA
the osmonds,1971,"""One Bad Apple""","""the osmonds""",TRUE,3,Universal Records,1970-11-14,Universal Records,1970,FALSE,4,TRUE,2,1.4142135623731,40,one bad apple,the osmonds,TRZLIQJ128F149F08C,NA,164973,164.973,One Bad Apple,the osmonds,NA,pop
bee gees,1971,"""How Can You Mend a Broken Heart""","""bee gees""",TRUE,12,Bee Gees Catalog,1971-09,Bee Gees Catalog,1970,FALSE,5,TRUE,11,3.3166247903554,41,how can you mend a broken heart,bee gees,TRPNFHR128F42430D9,Pop	Rock,285373,285.373,How Can You Mend a Broken Heart,bee gees,Pop	Rock,pop
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","""raiders""",TRUE,1,Columbia/Legacy,1971,Columbia; Legacy,1970,TRUE,6,FALSE,0,0,42,indian reservation the lament of the cherokee reservation indian,raiders,NA,NA,171933,171.933,Indian Reservation (The Lament of the Cherokee Reservation Indian),raiders,NA,rock
donny osmond,1971,"""Go Away Little Girl""","""donny osmond""",TRUE,5,Universal Records,1971-10-11,Universal Records,1970,FALSE,7,TRUE,4,2,43,go away little girl,donny osmond,NA,NA,150600,150.6,Go Away Little Girl,donny osmond,NA,pop
john denver,1971,"""Take Me Home, Country Roads""","""john denver""",TRUE,6,RCA/Legacy,1971,RCA; Legacy,1970,TRUE,8,TRUE,5,2.23606797749979,44,take me home country roads,john denver,TRHISAV128F42BC170,NA,190160,190.16,"Take Me Home, Country Roads",john denver,country,country
tony orlando,1971,"""Knock Three Times""","[""tony orlando"",""dawn""]",TRUE,4,BMG Special Products,1970,BMG Special Products,1970,FALSE,10,TRUE,3,1.73205080756888,45,knock three times,tony orlando,NA,NA,177173,177.173,Knock Three Times,tony orlando & dawn,NA,pop
janis joplin,1971,"""Me and Bobby McGee""","""janis joplin""",TRUE,1,Columbia/Legacy,1971-01-11,Columbia; Legacy,1970,TRUE,11,FALSE,0,0,46,me and bobby mcgee,janis joplin,TRWAZUK128F4277368,NA,271333,271.333,Me and Bobby McGee,janis joplin,blues,blues
al green,1971,"""Tired of Being Alone""","""al green""",TRUE,6,Fat Possum,1971-08-14,Fat Possum,1970,FALSE,12,TRUE,5,2.23606797749979,47,tired of being alone,al green,TRERXZU128F92DF5E5,RnB,172320,172.32,Tired of Being Alone,al green,RnB,blues
honey cone,1971,"""Want Ads""","""honey cone""",TRUE,2,Tooth & Nail (TNN),2000-01-01,Tooth & Nail (TNN),1970,FALSE,13,FALSE,1,1,48,want ads,honey cone,TRUXNXX12903CBFC34,NA,168280,168.28,Want Ads,honey cone,NA,pop
the undisputed truth,1971,"""Smiling Faces Sometimes""","""the undisputed truth""",TRUE,1,Motown,1971-01-01,Motown,1970,TRUE,14,FALSE,0,0,49,smiling faces sometimes,the undisputed truth,TRFTINO12903CE6911,NA,198546,198.546,Smiling Faces Sometimes,the undisputed truth,r&b,pop
cornelius brothers,1971,"""Treat Her Like a Lady""","[""cornelius brothers"",""sister rose""]",TRUE,2,Arista/LaFace Records,1994-04-26,Arista; LaFace Records,1970,FALSE,15,TRUE,1,1,50,treat her like a lady,cornelius brothers,NA,NA,160360,160.36,Treat Her Like a Lady,cornelius brothers & sister rose,NA,pop
