primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
simon,1970,"""Bridge Over Troubled Water""","[""simon"",""garfunkel""]",TRUE,2,Columbia,1970-01-26,Columbia,1970,TRUE,1,1,1,TRUE
the carpenters,1970,"""(They Long to Be) Close to You""","""the carpenters""",TRUE,11,A&M,1970,A&M,1970,FALSE,2,10,3.1622776601683795,TRUE
the guess who,1970,"""American Woman""","""the guess who""",TRUE,3,RCA/Legacy,1970-01-01,RCA; Legacy,1970,TRUE,3,2,1.4142135623730951,TRUE
b.j. thomas,1970,"""Raindrops Keep Fallin' on My Head""","""b.j. thomas""",TRUE,4,Gusto Records,1968,Gusto Records,1970,FALSE,4,3,1.7320508075688772,TRUE
edwin starr,1970,"""War""","""edwin starr""",TRUE,1,UNI/MOTOWN,1970-01-01,UNI; MOTOWN,1970,TRUE,5,0,0,FALSE
diana ross,1970,"""Ain't No Mountain High Enough""","""diana ross""",TRUE,13,UNI/MOTOWN,1967-08-29,UNI; MOTOWN,1970,TRUE,6,12,3.4641016151377544,TRUE
the jackson 5,1970,"""I'll Be There""","""the jackson 5""",TRUE,7,UNI/MOTOWN,1970-09-08,UNI; MOTOWN,1970,TRUE,7,6,2.449489742783178,TRUE
rare earth,1970,"""Get Ready""","""rare earth""",TRUE,3,UNI/MOTOWN,1969-09-30,UNI; MOTOWN,1970,TRUE,8,2,1.4142135623730951,TRUE
the beatles,1970,"""Let It Be""","""the beatles""",TRUE,3,EMI Catalogue,1967-11-27,EMI Catalogue,1970,FALSE,9,2,1.4142135623730951,TRUE
freda payne,1970,"""Band of Gold""","""freda payne""",TRUE,2,Edsel,1970,Edsel,1970,FALSE,10,1,1,TRUE
three dog night,1970,"""Mama Told Me (Not to Come)""","""three dog night""",TRUE,7,Geffen,1970-01-01,Geffen,1970,FALSE,11,6,2.449489742783178,TRUE
