primary_artist,Year,Title,record_label,album_year,decade,is_major_label,reappears_after_first
simon,1970,"""Bridge Over Troubled Water""",Columbia,1970-01-26,1970,FALSE,FALSE
the carpenters,1970,"""(They Long to Be) Close to You""",A&M,1970,1970,FALSE,TRUE
the guess who,1970,"""American Woman""",RCA/Legacy,1970-01-01,1970,TRUE,TRUE
b.j. thomas,1970,"""Raindrops Keep Fallin' on My Head""",Gusto Records,1968,1970,FALSE,TRUE
edwin starr,1970,"""War""",UNI/MOTOWN,1970-01-01,1970,TRUE,FALSE
diana ross,1970,"""Ain't No Mountain High Enough""",UNI/MOTOWN,1967-08-29,1970,TRUE,TRUE
the jackson 5,1970,"""I'll Be There""",UNI/MOTOWN,1970-09-08,1970,TRUE,TRUE
rare earth,1970,"""Get Ready""",UNI/MOTOWN,1969-09-30,1970,TRUE,TRUE
the beatles,1970,"""Let It Be""",EMI Catalogue,1967-11-27,1970,FALSE,TRUE
freda payne,1970,"""Band of Gold""",Edsel,1970,1970,FALSE,TRUE
three dog night,1970,"""Mama Told Me (Not to Come)""",Geffen,1970-01-01,1970,FALSE,TRUE
ray stevens,1970,"""Everything Is Beautiful""",Barnaby Records,1970-01-01,1970,FALSE,TRUE
bread,1970,"""Make It with You""",Rhino/Elektra,1970,1970,TRUE,TRUE
vanity fare,1970,"""Hitchin' a Ride""",Gulf Coast Records,1969-04-15,1970,FALSE,FALSE
the jackson 5,1970,"""ABC""",Motown,1970-05-08,1970,FALSE,TRUE
the jackson 5,1970,"""The Love You Save""",Motown,1970-05-08,1970,FALSE,TRUE
neil diamond,1970,"""Cracklin' Rosie""",Geffen*,1970,1970,FALSE,TRUE
dawn,1970,"""Candida""",BMG Special Products,1970,1970,FALSE,FALSE
sly,1970,"""Thank You (Falettinme Be Mice Elf Agin)""",Epic/Legacy,1970-11-21,1970,TRUE,TRUE
eric burdon,1970,"""Spill the Wine""",Avenue Records,1970-01-01,1970,FALSE,FALSE
five stairsteps,1970,"""O-o-h Child""",Buddha Records,2001-11-06,1970,FALSE,FALSE
norman greenbaum,1970,"""Spirit in the Sky""",Craft Recordings,1969-01-01,1970,FALSE,FALSE
melanie,1970,"""Lay Down (Candles in the Rain)""",Buddah/Legacy,1970-05-01,1970,TRUE,TRUE
the temptations,1970,"""Ball of Confusion (That's What the World Is Today)""",UNI/MOTOWN,2000-01-11,1970,TRUE,TRUE
the moments,1970,"""Love on a Two-Way Street""",CM BLUE NOTE (A92),1971-05-21,1970,FALSE,FALSE
the poppy family,1970,"""Which Way You Goin' Billy?""",Geffen,1996-04-23,1970,FALSE,FALSE
free,1970,"""All Right Now""",UMC (Universal Music Catalogue),1970-06-26,1970,FALSE,FALSE
the jackson 5,1970,"""I Want You Back""",UNI/MOTOWN,1969-12-18,1970,TRUE,TRUE
bobby sherman,1970,"""Julie, Do Ya Love Me""",RKO Music,1970,1970,FALSE,FALSE
sugarloaf,1970,"""Green-Eyed Lady""",Capitol Records,1970,1970,TRUE,TRUE
stevie wonder,1970,"""Signed, Sealed, Delivered I'm Yours""",UNI/MOTOWN,1970-08-07,1970,TRUE,TRUE
blues image,1970,"""Ride Captain Ride""",Rhino/Elektra,1970,1970,TRUE,FALSE
shocking blue,1970,"""Venus""",Red Bullet,1969,1970,FALSE,FALSE
john lennon,1970,"""Instant Karma!""",EMI Catalogue,2010-10-05,1970,FALSE,TRUE
clarence carter,1970,"""Patches""",Rhino Atlantic,1968,1970,TRUE,FALSE
creedence clearwater revival,1970,"""Lookin' out My Back Door""",Craft Recordings.,1970-07-24,1970,FALSE,FALSE
brook benton,1970,"""Rainy Night in Georgia""",Rhino Atlantic,1970,1970,TRUE,FALSE
kenny rogers,1970,"""Something's Burning""",MCA Nashville,1970-01-01,1970,FALSE,TRUE
chairmen of the board,1970,"""Give Me Just a Little More Time""",Demon,1970-01-01,1970,FALSE,FALSE
edison lighthouse,1970,"""Love Grows (Where My Rosemary Goes)""",Fuel Records,1960-03-09,1970,FALSE,FALSE
the beatles,1970,"""The Long and Winding Road""",EMI Catalogue,1970-05-08,1970,FALSE,TRUE
anne murray,1970,"""Snowbird""",EMI Music Canada,1994-01-01,1970,FALSE,TRUE
marmalade,1970,"""Reflections of My Life""",Union Square Music,1969-11-14,1970,FALSE,FALSE
eddie holman,1970,"""Hey There Lonely Girl""",Geffen,1969-01-01,1970,FALSE,FALSE
the jaggerz,1970,"""The Rapper""",Buddha Records,1970,1970,FALSE,FALSE
the hollies,1970,"""He Ain't Heavy, He's My Brother""",Epic/Legacy,1967,1970,TRUE,TRUE
alive n kickin',1970,"""Tighter, Tighter""",Rhino,1970,1970,TRUE,FALSE
badfinger,1970,"""Come and Get It""",EMI Catalogue,1970-01-09,1970,FALSE,TRUE
simon,1970,"""Cecilia""",Columbia,1970-01-26,1970,FALSE,FALSE
charles wright,1970,"""Love Land""",Rhino/Warner Records,1970-01-01,1970,TRUE,FALSE
tyrone davis,1970,"""Turn Back the Hands of Time""",Brunswick Records,1970,1970,FALSE,FALSE
the kinks,1970,"""Lola""",Sanctuary Records,1970-11-27,1970,FALSE,TRUE
mungo jerry,1970,"""In the Summertime""",Sanctuary Records,1970-01-01,1970,FALSE,FALSE
r. dean taylor,1970,"""Indiana Wants Me""",Motown,1967-01-23,1970,FALSE,FALSE
rare earth,1970,"""(I Know) I'm Losing You""",UNI/MOTOWN,1970-01-01,1970,TRUE,TRUE
bobby sherman,1970,"""Easy Come, Easy Go""",Metromedia Records,1970-11-09,1970,FALSE,FALSE
charles wright,1970,"""Express Yourself""",Rhino/Warner Records,1970,1970,TRUE,FALSE
the four tops,1970,"""Still Water (Love)""",Motown,1970,1970,FALSE,TRUE
chicago,1970,"""Make Me Smile""",Rhino,1970-01-26,1970,TRUE,TRUE
frijid pink,1970,"""The House of the Rising Sun""","ABKCO Music & Records, Inc.",1964-01-01,1970,FALSE,FALSE
chicago,1970,"""25 or 6 to 4""",Rhino,1970-01-26,1970,TRUE,TRUE
white plains,1970,"""My Baby Loves Lovin'""",Fuel Records,1960-03-09,1970,FALSE,FALSE
the friends of distinction,1970,"""Love or Let Me Be Lonely""",RCA/Legacy,1970-03-01,1970,TRUE,FALSE
the brotherhood of man,1970,"""United We Stand""",Universal Digital Enterprises,1968-12-12,1970,FALSE,FALSE
the carpenters,1970,"""We've Only Just Begun""",A&M,1970,1970,FALSE,TRUE
mark lindsay,1970,"""Arizona""",Columbia,1969-03-05,1970,FALSE,FALSE
james taylor,1970,"""Fire and Rain""",Rhino/Warner Records,1970-02-01,1970,TRUE,TRUE
gene chandler,1970,"""Groovy Situation""",Legacy Recordings,1990-10,1970,FALSE,FALSE
santana,1970,"""Evil Ways""",Columbia/Legacy,1969,1970,TRUE,TRUE
the guess who,1970,"""No Time""",RCA/Legacy,1970-01-01,1970,TRUE,TRUE
the delfonics,1970,"""Didn't I (Blow Your Mind This Time)""",Buddha Records,1968,1970,FALSE,FALSE
elvis presley,1970,"""The Wonder of You""",GoldState Music,1985-12-21,1970,FALSE,TRUE
creedence clearwater revival,1970,"""Up Around the Bend""",Craft Recordings.,1970-07-24,1970,FALSE,FALSE
ronnie dyson,1970,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""",Columbia/Legacy,1970-05-01,1970,TRUE,FALSE
b.j. thomas,1970,"""I Just Can't Help Believing""",Gusto Records,1968,1970,FALSE,TRUE
the spinners,1970,"""It's a Shame""",UNI/MOTOWN,1970,1970,TRUE,TRUE
bobbi martin,1970,"""For the Love of Him""",Motown,1994-01-01,1970,FALSE,FALSE
mountain,1970,"""Mississippi Queen""",Columbia/Legacy,1970,1970,TRUE,FALSE
ike,1970,"""I Want to Take You Higher""",CAPITOL CATALOG MKT (C92),1970-05-08,1970,FALSE,TRUE
joe cocker,1970,"""The Letter""",A&M,1970-08-18,1970,FALSE,TRUE
tee-set,1970,"""Ma Belle Amie""",Pseudonym / TSR,1970-04-02,1970,FALSE,FALSE
the originals,1970,"""The Bells""",UNI/MOTOWN,1970-06-01,1970,TRUE,FALSE
christie,1970,"""Yellow River""",Craft Recordings,1969-08-03,1970,FALSE,FALSE
100 proof (aged in soul),1970,"""Somebody's Been Sleeping""",Edsel,1971-01-01,1970,FALSE,FALSE
the ides of march,1970,"""Vehicle""",Rhino/Warner Records,1970,1970,TRUE,FALSE
the pipkins,1970,"""Gimme Dat Ding""",Chrysalis Copyrights,1970-01-01,1970,FALSE,FALSE
robin mcnamara,1970,"""Lay a Little Lovin' on Me""",Fuel Records,1960-03-09,1970,FALSE,FALSE
the supremes,1970,"""Up the Ladder to the Roof""",Motown,1970-04-26,1970,FALSE,FALSE
creedence clearwater revival,1970,"""Travelin' Band""",Craft Recordings.,1970-07-24,1970,FALSE,FALSE
the sandpipers,1970,"""Come Saturday Morning""",A&M,1970-08-31,1970,FALSE,FALSE
the temptations,1970,"""Psychedelic Shack""",UNI/MOTOWN,1970-01-01,1970,TRUE,TRUE
tom jones,1970,"""Without Love (There Is Nothing)""",Mercury Records,1994-12-06,1970,FALSE,TRUE
pacific gas,1970,"""Are You Ready?""",Columbia/Legacy,1970,1970,TRUE,FALSE
crosby,1970,"""Woodstock""",Rhino Atlantic,1969-05-29,1970,TRUE,TRUE
dionne warwick,1970,"""I'll Never Fall in Love Again""",Rhino,1970,1970,TRUE,TRUE
the new seekers,1970,"""Look What They've Done to My Song Ma""",Rhino/Elektra,1971,1970,TRUE,TRUE
joe south,1970,"""Walk A Mile In My Shoes""",CAPITOL CATALOG MKT (C92),1968-01-01,1970,FALSE,FALSE
b.b. king,1970,"""The Thrill Is Gone""",Geffen,1969-12-05,1970,FALSE,FALSE
glen campbell,1970,"""It's Only Make Believe""",Capitol Nashville,1970-01-01,1970,FALSE,TRUE
aretha franklin,1970,"""Call Me""",Rhino Atlantic,1968-06-14,1970,TRUE,TRUE
three dog night,1971,"""Joy to the World""",Geffen*,1970-01-01,1970,FALSE,TRUE
rod stewart,1971,"""Maggie May""/""Reason to Believe""",Mercury Records,1971-05-18,1970,FALSE,TRUE
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""",Ode/Epic/Legacy,1971,1970,TRUE,TRUE
the osmonds,1971,"""One Bad Apple""",Universal Records,1970-11-14,1970,FALSE,TRUE
bee gees,1971,"""How Can You Mend a Broken Heart""",Bee Gees Catalog,1971-09,1970,FALSE,TRUE
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",Columbia/Legacy,1971,1970,TRUE,FALSE
donny osmond,1971,"""Go Away Little Girl""",Universal Records,1971-10-11,1970,FALSE,TRUE
john denver,1971,"""Take Me Home, Country Roads""",RCA/Legacy,1971,1970,TRUE,TRUE
the temptations,1971,"""Just My Imagination (Running Away with Me)""",Motown,1971-01-01,1970,FALSE,TRUE
tony orlando,1971,"""Knock Three Times""",BMG Special Products,1970,1970,FALSE,TRUE
janis joplin,1971,"""Me and Bobby McGee""",Columbia/Legacy,1971-01-11,1970,TRUE,FALSE
al green,1971,"""Tired of Being Alone""",Fat Possum,1971-08-14,1970,FALSE,TRUE
honey cone,1971,"""Want Ads""",Tooth & Nail (TNN),2000-01-01,1970,FALSE,FALSE
the undisputed truth,1971,"""Smiling Faces Sometimes""",Motown,1971-01-01,1970,FALSE,FALSE
cornelius brothers,1971,"""Treat Her Like a Lady""",Arista/LaFace Records,1994-04-26,1970,FALSE,TRUE
the rolling stones,1971,"""Brown Sugar""",Polydor Records,1971-04-23,1970,FALSE,TRUE
james taylor,1971,"""You've Got a Friend""",Rhino/Warner Records,1971-04-01,1970,TRUE,TRUE
jean knight,1971,"""Mr. Big Stuff""",Stax,1971,1970,FALSE,FALSE
lee michaels,1971,"""Do You Know What I Mean""",Manifesto Records,1971-11-20,1970,FALSE,FALSE
joan baez,1971,"""The Night They Drove Old Dixie Down""",CAPITOL CATALOG MKT (C92),1969-09-22,1970,FALSE,FALSE
marvin gaye,1971,"""What's Going On""",UNI/MOTOWN,1971-05-21,1970,TRUE,TRUE
paul,1971,"""Uncle Albert/Admiral Halsey""",Paul McCartney Catalog,1971-05-17,1970,FALSE,FALSE
bill withers,1971,"""Ain't No Sunshine""",Columbia/Legacy,1971-05-01,1970,TRUE,TRUE
five man electrical band,1971,"""Signs""",Mercury Records,1981-02-12,1970,FALSE,FALSE
tom jones,1971,"""She's a Lady""",UMC (Universal Music Catalogue),1971-05-01,1970,FALSE,TRUE
the free movement,1971,"""I've Found Someone of My Own""",Columbia/Legacy,1971-12-15,1970,TRUE,FALSE
murray head,1971,"""Superstar""",Polydor Records,2012-01-01,1970,FALSE,TRUE
jerry reed,1971,"""Amos Moses""",RCA Records Label,1970-12-01,1970,FALSE,FALSE
the grass roots,1971,"""Temptation Eyes""",Geffen,1969-11-01,1970,FALSE,FALSE
the carpenters,1971,"""Superstar""",A&M,1971,1970,FALSE,TRUE
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""",BMG Rights Management (US) LLC,1970-11-20,1970,FALSE,TRUE
donny osmond,1971,"""Sweet and Innocent""",Universal Records,1971-09-05,1970,FALSE,TRUE
ocean,1971,"""Put Your Hand in the Hand""",Legacy Recordings,1971,1970,FALSE,FALSE
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""",Jive,2004,1970,FALSE,FALSE
the carpenters,1971,"""For All We Know""",A&M,1971,1970,FALSE,TRUE
gordon lightfoot,1971,"""If You Could Read My Mind""",143/Warner Records,1970,1970,TRUE,TRUE
sammi smith,1971,"""Help Me Make It Through the Night""",Varese Sarabande,1996-01-01,1970,FALSE,FALSE
the carpenters,1971,"""Rainy Days and Mondays""",A&M,1971,1970,FALSE,TRUE
cher,1971,"""Gypsys, Tramps & Thieves""",Geffen,1971-01-01,1970,FALSE,TRUE
the jackson 5,1971,"""Never Can Say Goodbye""",UNI/MOTOWN,1971-04-12,1970,TRUE,TRUE
lynn anderson,1971,"""Rose Garden""",Columbia/Legacy,1966,1970,TRUE,FALSE
hamilton,1971,"""Don't Pull Your Love""",Geffen,1971-05-01,1970,FALSE,TRUE
ringo starr,1971,"""It Don't Come Easy""",Parlophone,1973-01-01,1970,FALSE,TRUE
nitty gritty dirt band,1971,"""Mr. Bojangles""",Capitol Nashville,2001-01-01,1970,FALSE,FALSE
the fuzz,1971,"""I Love You for All Seasons""",Rhino,1971-01-01,1970,TRUE,FALSE
